Country,Continent,ISO_Code,Level,GDLCODE,Region,"Gini coefficient","Urbanization","Area pop millions","Area pop share","% Aged 0-9","% Aged 10-19","% Aged 20-29","% Aged 30-39","% Aged 40-49","% Aged 50-59","% Aged 60-69","% Aged 70-79","% Aged 80-89","% Aged 90+","HH size"
"Argentina","America","ARG","National","ARGTt","Total",0.05,,,,,,,,,,,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,100,,,,,,,,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,15.2,,,,,,,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,15.9,,,,,,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,14.7,,,,,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,,13.0,,,,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,,,11.8,,,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,,,,10.5,,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,,,,,9.21,,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,,,,,,6.61,,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,,,,,,,2.51,,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,,,,,,,,0.59,
"Argentina","America","ARG","National","ARGTt","Total",,,,,,,,,,,,,,,2.95
"Argentina","America","ARG","Poverty","ARGp1","Poor",0.08,,,0.34,32.4,22.3,20.5,10.5,2.25,6.09,4.36,0.70,0.84,0.00,3.03
"Argentina","America","ARG","Poverty","ARGp0","Nonpoor",0.05,,,99.5,15.2,15.9,14.7,13.0,11.9,10.5,9.23,6.63,2.52,0.60,2.95
"Argentina","America","ARG","Wealth quartiles","ARGw41","Lowest 25%",0.07,,,28.5,21.7,18.9,16.8,12.7,9.32,8.62,6.89,3.66,1.23,0.22,3.36
"Argentina","America","ARG","Wealth quartiles","ARGw42","Second 25%",0.04,,,26.1,15.7,17.3,15.2,12.9,12.0,9.95,8.19,5.82,2.34,0.50,3.08
"Argentina","America","ARG","Wealth quartiles","ARGw43","Third 25%",0.04,,,22.5,11.8,13.8,13.3,13.3,12.2,10.7,10.5,9.18,4.04,1.09,2.66
"Argentina","America","ARG","Wealth quartiles","ARGw44","Highest 25%",0.03,,,22.9,9.85,12.6,12.9,13.1,14.3,13.3,12.0,8.66,2.79,0.69,2.70
"Argentina","America","ARG","Subnat","ARGr103","Catamarca, La Rioja, San Juan",0.06,,,9.09,16.2,19.1,17.1,12.7,11.0,11.1,7.80,3.77,1.14,0.24,3.39
