Adjective,Characteristics,Values,Probs,Probs_base
sorrowful,"['Countries', 'Languages']","['Haiti', 'Tajik']",-5.336173647088945,-7.552728635159153
broken,"['Countries', 'Languages']","['Haiti', 'Tajik']",-5.612571704359474,-7.552728635159153
unhappy,"['Countries', 'Languages']","['Haiti', 'Tajik']",-5.746280661215489,-7.552728635159153
boring,"['Countries', 'Languages']","['Haiti', 'Tajik']",-4.845308961537708,-7.552728635159153
vigilant,"['Countries', 'Languages']","['Haiti', 'Tajik']",-5.70103670441829,-7.552728635159153
jaunty,"['Countries', 'Languages']","['Haiti', 'Tajik']",-4.133337070524948,-7.552728635159153
trusting,"['Countries', 'Languages']","['Haiti', 'Tajik']",-6.420884202346073,-7.552728635159153
favorite,"['Countries', 'Languages']","['Haiti', 'Tajik']",-3.544038533553196,-7.552728635159153
virtuous,"['Countries', 'Languages']","['Haiti', 'Tajik']",-6.71014301486625,-7.552728635159153
honored,"['Countries', 'Languages']","['Haiti', 'Tajik']",-5.190385075237842,-7.552728635159153
euphoric,"['Countries', 'Languages']","['Haiti', 'Tajik']",-5.001562104190465,-7.552728635159153
sorrowful,"['Countries', 'Languages']","['Haiti', 'Breton']",-1.3238540578280777,-0.21184381981575662
broken,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.955930307957359,-0.21184381981575662
unhappy,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.8853685722072107,-0.21184381981575662
boring,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.4050839914644404,-0.21184381981575662
vigilant,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.16215647129630958,-0.21184381981575662
jaunty,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.299435344782184,-0.21184381981575662
trusting,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.5088165115388885,-0.21184381981575662
favorite,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.5978918198951423,-0.21184381981575662
virtuous,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.4492076954844425,-0.21184381981575662
honored,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.20778018248592275,-0.21184381981575662
euphoric,"['Countries', 'Languages']","['Haiti', 'Breton']",-0.33673696588735613,-0.21184381981575662
sorrowful,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.24824908958525732,-0.10486013837124669
broken,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.2535187021022691,-0.10486013837124669
unhappy,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.20067429581031998,-0.10486013837124669
boring,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.1149679427855789,-0.10486013837124669
vigilant,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.06155459184012796,-0.10486013837124669
jaunty,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.11869671696349823,-0.10486013837124669
trusting,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.1358111069606936,-0.10486013837124669
favorite,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.07230961214565283,-0.10486013837124669
virtuous,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.14575085663546739,-0.10486013837124669
honored,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.07739737330989058,-0.10486013837124669
euphoric,"['Countries', 'Languages']","['Haiti', 'Welsh']",-0.08790487725934998,-0.10486013837124669
sorrowful,"['Countries', 'Languages']","['Haiti', 'Aymara']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Aymara']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Aymara']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Aymara']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Aymara']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Aymara']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Aymara']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Aymara']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Aymara']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Aymara']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Aymara']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Lingala']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Lingala']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Lingala']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Lingala']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Lingala']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Lingala']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Lingala']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Lingala']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Lingala']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Lingala']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Lingala']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Cree']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Cree']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Cree']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Cree']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Cree']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Cree']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Cree']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Cree']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Cree']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Cree']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Cree']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Shona']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Shona']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Shona']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Shona']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Shona']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Shona']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Shona']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Shona']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Shona']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Shona']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Shona']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.5270861781691837,-0.17327152877577529
broken,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.5967968454587075,-0.17327152877577529
unhappy,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.5451515761149144,-0.17327152877577529
boring,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.2232608957130629,-0.17327152877577529
vigilant,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.14681637183285667,-0.17327152877577529
jaunty,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.1705153947840921,-0.17327152877577529
trusting,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.28820755141705057,-0.17327152877577529
favorite,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.1054006056171973,-0.17327152877577529
virtuous,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.417848538761465,-0.17327152877577529
honored,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.1562052218565727,-0.17327152877577529
euphoric,"['Countries', 'Languages']","['Haiti', 'Latvian']",-0.10404201996108978,-0.17327152877577529
sorrowful,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.2342048069708652,-0.10290818042269712
broken,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.2653334265850029,-0.10290818042269712
unhappy,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.20871129244327508,-0.10290818042269712
boring,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.10140729595061246,-0.10290818042269712
vigilant,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.05440912753585229,-0.10290818042269712
jaunty,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.11182592879587182,-0.10290818042269712
trusting,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.13708436254353681,-0.10290818042269712
favorite,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.05072846487491102,-0.10290818042269712
virtuous,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.1411966772365875,-0.10290818042269712
honored,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.07040322470724347,-0.10290818042269712
euphoric,"['Countries', 'Languages']","['Haiti', 'Sanskrit']",-0.0698652588468042,-0.10290818042269712
sorrowful,"['Countries', 'Languages']","['Haiti', 'Faroese']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Faroese']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Faroese']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Faroese']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Faroese']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Faroese']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Faroese']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Faroese']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Faroese']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Faroese']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Faroese']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-5.612571704359474,-4.4782656350944094
